Product Name,Price,Weight,Number of Items,Item ID
Wireless Mouse,19.99,0.2,150,1
Bluetooth Headphones,59.99,0.3,85,2
Gaming Keyboard,89.99,0.9,45,3
4K Monitor,329.99,4.5,20,4
Smartphone Stand,14.49,0.15,120,5
USB-C Charger,25.99,0.25,95,6
Portable SSD 1TB,109.99,0.1,60,7
Webcam 1080p,49.99,0.18,70,8
Desk Lamp LED,39.99,1.2,50,9
Ergonomic Chair,199.99,14.5,30,10
"""Laptop Sleeve 15""""""",21.99,0.4,80,11
Noise Cancelling Earbuds,89.99,0.08,40,12
Standing Desk Converter,149.99,12.3,25,13
Mechanical Pencil,3.99,0.05,200,14
Notebook A5,6.49,0.3,170,15
Wireless Router,79.99,0.9,35,16
Smart Plug,24.99,0.2,60,17
Power Strip 6-outlet,18.99,0.6,110,18
Smartwatch,199.99,0.09,40,19
HDMI Cable 2m,9.99,0.2,130,20
Laptop Cooling Pad,29.99,0.85,55,21
Fitness Tracker,49.99,0.06,90,22
USB Flash Drive 64GB,12.99,0.03,300,23
Graphic Tablet,69.99,0.5,22,24
Mini Projector,129.99,1.1,18,25
Cordless Drill,79.99,2.0,25,26
Electric Kettle,34.99,1.3,60,27
Air Fryer,99.99,5.8,15,28
Vacuum Cleaner,149.99,7.0,20,29
Coffee Grinder,39.99,1.2,35,30
Blender 1.5L,59.99,2.1,28,31
Portable Fan,24.99,1.0,75,32
Humidifier,29.99,1.4,65,33
Yoga Mat,19.99,1.6,80,34
Dumbbell Set 20kg,89.99,20.0,10,35
Jump Rope,9.99,0.2,140,36
Camping Tent 4-Person,149.99,6.5,12,37
Sleeping Bag,39.99,1.8,30,38
Hiking Backpack 50L,79.99,2.2,20,39
Tool Set 102-piece,99.99,6.0,18,40
Wall Clock,24.99,0.7,40,41
LED Light Strip 5m,14.99,0.4,85,42
Pet Bed Medium,34.99,2.3,25,43
Dog Leash Retractable,17.99,0.5,55,44
Cat Litter Box,29.99,3.5,18,45
Bird Feeder,19.99,1.1,32,46
Plant Pot Ceramic,12.99,1.8,45,47
Water Bottle Stainless 1L,15.99,0.6,90,48
Backpack Waterproof,39.99,1.3,20,49
Wireless Charger Pad,29.99,0.22,55,50
Solar Power Bank,39.99,0.7,42,51
Gaming chair,400.0,20.0,1,52
